Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
418,Landry Shamet\shamela01,SG,23,BRK,37,1,20.4,2.6,6.6,.393,1.8,4.9,.374,0.8,1.7,.452,.533,1.0,1.2,.837,0.2,1.6,1.8,1.1,0.4,0.1,0.7,1.3,8.0
419,Iman Shumpert\shumpim01,SG,30,BRK,2,0,5.5,0.5,2.0,.250,0.0,1.5,.000,0.5,0.5,1.000,.250,0.0,0.0,,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0
420,Pascal Siakam\siakapa01,PF,26,TOR,31,31,35.7,7.3,16.2,.449,1.2,4.0,.288,6.1,12.1,.503,.485,4.2,5.1,.811,1.9,5.5,7.4,4.7,1.1,0.7,2.2,3.1,19.8
421,Chris Silva\silvach01,PF,24,MIA,10,0,7.8,0.8,1.1,.727,0.1,0.1,1.000,0.7,1.0,.700,.773,1.1,1.5,.733,0.7,1.8,2.5,0.6,0.1,0.5,0.9,1.9,2.8
422,Ben Simmons\simmobe01,PG,24,PHI,34,34,34.0,6.2,10.9,.571,0.1,0.2,.375,6.1,10.7,.576,.575,3.4,5.1,.659,1.8,6.2,8.0,7.8,1.5,0.7,3.4,3.1,15.9
423,Anfernee Simons\simonan01,SG,21,POR,35,0,16.7,2.7,6.9,.398,2.0,4.8,.408,0.8,2.1,.375,.541,0.7,0.8,.821,0.2,2.1,2.4,1.4,0.2,0.1,0.8,1.7,8.1
424,Deividas Sirvydis\sirvyde01,SG,20,DET,6,0,1.8,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,,.000,0.2,0.3,.500,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.2,0.2
425,Alen Smailagić\smailal01,PF,20,GSW,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
426,Marcus Smart\smartma01,PG,26,BOS,21,18,30.6,4.1,10.4,.399,1.8,5.3,.330,2.4,5.0,.472,.484,2.8,3.7,.766,0.6,2.1,2.7,5.3,1.6,0.5,1.7,2.4,12.9
427,Dennis Smith Jr.\smithde03,PG,23,TOT,16,7,18.6,2.8,7.3,.379,1.0,3.1,.327,1.8,4.2,.418,.448,0.7,0.9,.786,0.7,2.0,2.7,3.2,1.1,0.6,1.1,1.6,7.2
427,Dennis Smith Jr.\smithde03,PG,23,NYK,3,0,9.3,0.7,3.3,.200,0.0,1.3,.000,0.7,2.0,.333,.200,1.7,2.0,.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0
427,Dennis Smith Jr.\smithde03,PG,23,DET,13,7,20.7,3.2,8.2,.396,1.2,3.5,.356,2.0,4.7,.426,.472,0.5,0.6,.750,0.8,2.3,3.2,3.7,1.2,0.8,1.2,1.6,8.2
428,Ish Smith\smithis01,PG,32,WAS,19,1,20.6,2.3,6.1,.379,0.3,1.1,.250,2.1,5.1,.406,.401,0.3,0.8,.400,0.5,2.9,3.5,4.7,0.8,0.2,1.0,0.9,5.2
429,Jalen Smith\smithja04,PF,20,PHO,12,0,5.2,0.7,1.7,.400,0.2,0.7,.250,0.5,1.0,.500,.450,0.1,0.3,.333,0.4,0.8,1.2,0.2,0.0,0.2,0.2,0.4,1.6
430,Tony Snell\snellto01,SG,29,ATL,27,10,19.4,1.9,3.8,.500,1.6,2.7,.568,0.3,1.0,.321,.706,0.1,0.1,1.000,0.4,1.9,2.3,1.4,0.1,0.3,0.5,1.4,5.4
431,Ray Spalding\spaldra01,C,23,HOU,2,0,9.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,1.0,.000,1.0,1.0,2.0,0.0,0.0,1.0,1.5,1.5,2.0
432,Cassius Stanley\stanlca01,SG,21,IND,9,0,2.8,0.3,1.0,.333,0.1,0.3,.333,0.2,0.7,.333,.389,0.4,0.6,.800,0.2,0.2,0.4,0.0,0.0,0.2,0.1,0.8,1.2
433,Lamar Stevens\stevela01,PF,23,CLE,26,0,13.6,1.5,3.7,.406,0.1,0.7,.118,1.4,3.0,.468,.417,0.9,1.3,.676,0.5,2.0,2.4,0.9,0.4,0.3,0.6,1.4,4.0
434,Isaiah Stewart\stewais01,C,19,DET,38,2,18.8,2.5,4.4,.568,0.1,0.2,.444,2.4,4.2,.575,.580,0.7,1.0,.658,2.3,3.5,5.8,0.8,0.6,1.0,0.9,2.5,5.8
435,Max Strus\strusma01,SF,24,MIA,20,0,14.6,2.5,5.4,.467,1.6,4.4,.368,0.9,1.0,.900,.617,0.5,0.7,.714,0.1,1.0,1.1,0.5,0.2,0.0,0.2,1.3,7.1
436,Edmond Sumner\sumneed01,SG,25,IND,26,4,11.7,1.8,3.7,.500,0.4,1.2,.344,1.4,2.5,.578,.557,0.9,1.2,.774,0.3,1.0,1.4,0.4,0.6,0.1,0.8,1.3,5.0
437,Jae'Sean Tate\tateja01,SF,25,HOU,39,27,27.7,4.1,7.9,.515,0.7,2.2,.310,3.4,5.7,.595,.558,1.3,1.7,.731,1.8,3.5,5.3,1.7,1.1,0.5,1.2,3.1,10.1
438,Jayson Tatum\tatumja01,SF,22,BOS,35,35,35.7,9.3,20.7,.447,2.7,7.2,.373,6.6,13.5,.486,.512,4.1,4.8,.856,0.6,6.3,6.9,4.4,1.4,0.5,2.5,2.0,25.3
439,Jeff Teague\teaguje01,PG,32,BOS,32,4,17.5,2.0,5.3,.373,0.7,1.6,.420,1.3,3.7,.353,.435,1.4,1.6,.865,0.3,1.4,1.7,2.0,0.8,0.2,1.1,1.2,6.0
440,Garrett Temple\templga01,SG,34,CHI,35,12,27.9,3.1,7.4,.425,1.3,3.8,.343,1.8,3.6,.512,.514,0.9,1.1,.816,0.6,2.6,3.1,2.0,0.9,0.5,1.0,2.3,8.5
441,Tyrell Terry\terryty01,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
442,Daniel Theis\theisda01,C,28,BOS,38,33,24.0,3.6,6.4,.566,0.8,2.1,.363,2.9,4.3,.665,.625,1.1,1.6,.677,1.3,3.8,5.1,1.5,0.6,1.0,1.0,2.8,9.1
443,Brodric Thomas\thomabr01,SG,24,TOT,6,0,5.7,0.8,2.0,.417,0.3,1.2,.286,0.5,0.8,.600,.500,1.2,1.5,.778,0.2,0.7,0.8,0.7,0.2,0.2,0.7,1.0,3.2
443,Brodric Thomas\thomabr01,SG,24,HOU,4,0,6.0,0.5,1.8,.286,0.3,1.5,.167,0.3,0.3,1.000,.357,1.3,1.8,.714,0.3,0.8,1.0,1.0,0.3,0.3,1.0,1.3,2.5
443,Brodric Thomas\thomabr01,SG,24,CLE,2,0,5.0,1.5,2.5,.600,0.5,0.5,1.000,1.0,2.0,.500,.700,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,4.5
444,Matt Thomas\thomama02,SG,26,TOR,25,0,7.5,0.9,2.3,.379,0.6,1.6,.385,0.3,0.8,.368,.509,0.2,0.3,.857,0.1,0.7,0.8,0.4,0.1,0.0,0.2,0.4,2.6
445,Tristan Thompson\thomptr01,PF,29,BOS,36,31,22.5,3.3,6.2,.534,0.0,0.1,.000,3.3,6.1,.541,.534,1.3,2.2,.600,3.1,5.3,8.4,1.0,0.4,0.4,1.0,2.1,7.9
